,O3 (ppb),CO (ppm),SO2 (μg/m³),NO2 (μg/m³),PM2.5 (μg/m³),PM10 (μg/m³),Polluted
771,50,0.2,105,14,56,20,0
772,89,0.4,97,45,6,38,0
773,50,0.8,89,45,75,7,0
774,247,0.1,24,71,94,98,1
775,59,0.6,29,80,4,34,0
776,249,0.8,10,46,57,97,1
777,16,0.9,29,106,98,13,0
778,18,0.9,120,51,59,42,1
779,18,0.5,119,25,52,14,0
780,67,0.6,29,28,10,20,0
781,184,0.4,91,46,14,20,0
782,208,0.8,137,100,38,12,1
783,225,0.7,6,42,13,8,0
784,221,0.5,137,24,89,66,1
785,191,0.4,101,15,38,20,0
786,48,1.0,42,118,81,36,1
787,90,0.5,102,11,10,45,0
788,35,0.6,120,43,29,50,1
789,207,1.0,112,130,21,68,1
790,185,0.8,106,94,85,11,1
791,131,0.6,122,128,93,19,1
792,178,0.9,40,99,29,90,1
793,88,0.3,119,25,79,63,1
794,223,0.1,107,103,44,14,1
795,219,0.4,108,87,4,40,0
796,199,0.1,112,63,94,93,1
797,91,0.2,107,12,7,19,0
798,160,0.7,39,102,91,84,1
799,100,0.1,63,36,57,36,0
800,241,0.5,18,94,30,29,0
801,235,0.0,26,31,94,79,0
802,198,0.9,93,31,71,74,1
803,234,0.8,24,79,55,73,1
804,199,0.1,99,63,99,74,1
805,112,0.3,141,71,65,71,1
806,244,0.3,86,41,50,61,1
807,244,0.8,134,114,86,42,1
808,201,0.6,97,109,50,77,1
809,172,1.0,95,26,88,80,1
810,93,0.8,145,67,49,23,1
811,166,0.4,123,56,23,20,1
812,42,0.9,49,98,64,24,1
813,34,0.7,29,57,96,86,1
814,8,0.5,12,79,18,33,0
815,226,0.9,65,117,9,12,1
816,168,0.7,56,103,77,62,1
817,58,0.4,114,48,66,67,1
818,150,0.5,86,33,4,28,0
819,210,1.0,132,103,74,31,1
820,113,0.5,57,107,9,44,0
821,185,1.0,73,18,46,46,1
822,199,0.9,87,79,87,95,1
823,216,0.9,58,20,36,83,1
824,149,0.3,125,83,30,52,1
825,130,0.2,98,95,42,79,1
826,28,0.7,62,130,65,27,1
827,21,0.4,43,128,52,82,1
828,101,0.7,147,71,21,35,1
829,64,0.2,88,63,19,46,1
830,11,0.3,68,28,40,59,0
831,45,0.2,33,40,79,44,0
832,129,0.5,27,86,65,37,0
833,77,0.6,6,38,46,56,1
834,66,0.6,54,100,76,77,1
835,6,0.5,102,125,74,60,1
836,158,0.9,56,73,8,60,1
837,240,0.7,79,70,9,92,1
838,181,0.1,89,64,29,86,1
839,247,0.9,55,84,19,8,1
840,102,0.8,35,119,90,98,1
841,197,0.6,100,50,66,68,1
842,43,0.9,35,40,93,17,0
843,225,0.9,77,53,35,45,1
844,96,0.2,78,80,91,83,1
845,112,0.5,107,123,6,73,1
846,49,0.4,141,48,19,30,0
847,150,0.1,37,90,57,99,1
848,17,0.5,16,32,32,59,0
849,112,0.4,85,42,22,64,1
850,92,0.0,122,61,21,96,1
851,217,0.5,116,67,94,77,1
852,48,0.2,127,50,73,76,0
853,105,0.6,5,73,84,37,1
854,194,0.1,8,124,57,41,0
855,17,0.8,17,74,51,5,0
856,205,0.0,74,23,7,73,0
857,236,0.4,46,45,66,38,0
858,155,0.7,101,112,60,26,1
859,142,0.4,17,64,83,70,1
860,236,0.2,56,100,76,80,1
861,34,0.3,66,35,4,39,0
862,152,0.4,62,89,38,82,1
863,77,0.5,40,69,32,32,1
864,148,0.3,5,11,40,19,0
865,174,0.2,85,76,87,82,1
866,57,0.3,79,12,73,83,1
867,21,0.2,36,74,49,88,1
868,221,0.9,83,80,48,84,1
869,99,0.4,79,33,31,21,0
870,220,0.4,27,61,99,65,1
871,116,0.8,11,60,72,31,1
872,222,0.8,77,82,95,94,1
873,108,1.0,149,24,15,41,0
874,153,0.9,104,98,82,28,1
875,74,0.9,107,39,16,53,1
876,46,0.5,44,42,82,44,0
877,66,0.5,94,58,29,7,1
878,202,1.0,137,90,77,64,1
879,212,0.2,77,34,20,100,0
880,226,0.6,131,50,3,42,0
881,207,0.5,75,116,56,12,1
882,81,0.7,5,61,49,11,1
883,41,0.8,99,83,58,16,1
884,100,0.4,42,38,91,50,1
885,24,0.7,76,23,26,52,1
886,28,0.6,116,18,82,46,1
887,32,0.1,67,56,11,56,0
888,166,0.6,26,59,99,12,1
889,58,0.0,106,119,69,96,1
890,103,0.4,139,62,36,40,1
891,93,0.9,112,108,88,11,1
892,24,0.1,137,79,29,34,0
893,101,0.5,141,96,51,100,1
894,138,0.6,52,114,81,57,1
895,74,0.2,106,77,8,84,1
896,200,0.8,100,62,77,71,1
897,167,0.3,101,82,82,39,1
898,17,0.2,124,63,13,10,0
899,142,0.2,128,20,20,86,0
900,234,0.8,100,66,43,57,1
901,227,0.7,83,104,47,97,1
902,61,0.2,106,79,21,75,1
903,204,0.0,106,58,5,93,1
904,171,0.5,82,68,17,66,1
905,19,0.1,66,118,47,82,1
906,222,0.7,129,82,64,10,1
907,20,0.0,11,81,24,78,0
908,121,0.4,149,111,44,24,1
909,113,0.1,98,10,50,70,1
910,73,0.3,142,32,82,28,0
911,223,0.1,40,35,66,42,0
912,169,0.8,150,121,83,63,1
913,49,0.3,31,14,88,60,0
914,46,0.3,113,24,35,62,0
915,150,0.0,114,67,63,54,1
916,82,0.1,137,38,74,14,0
917,196,0.3,11,86,25,9,0
918,70,0.9,106,59,99,9,1
919,132,0.1,94,58,38,55,1
920,225,0.1,22,28,80,57,0
921,150,0.2,82,122,87,48,1
922,18,0.6,48,42,86,14,0
923,172,0.1,49,87,8,54,1
924,61,0.9,74,99,26,34,1
925,142,0.5,35,58,83,66,1
926,178,0.1,100,38,50,83,1
927,54,0.1,36,54,3,53,1
928,210,0.1,143,63,66,74,1
929,237,0.4,87,13,3,16,0
930,104,0.2,111,20,72,43,0
931,161,0.2,54,96,53,46,1
932,177,0.7,90,66,57,34,1
933,208,0.2,124,44,36,92,1
934,44,0.0,29,33,97,49,0
935,59,0.8,49,81,8,70,1
936,120,0.9,46,31,61,81,1
937,45,0.4,9,32,97,17,0
938,243,0.1,136,48,57,42,0
939,53,0.6,83,39,83,92,1
940,173,0.1,51,19,96,9,0
941,204,0.9,16,49,32,46,1
942,236,0.0,54,116,87,41,1
943,203,0.0,91,123,64,62,1
944,241,0.5,68,50,99,15,0
945,95,0.4,125,15,90,51,1
946,218,0.9,23,42,14,31,0
947,97,0.2,131,35,60,58,1
948,174,0.7,53,32,33,14,1
949,16,0.3,19,70,8,48,0
950,123,0.5,32,89,73,82,1
951,196,0.8,118,77,97,57,1
952,245,0.1,115,18,66,68,1
953,173,0.3,69,102,78,24,1
954,172,0.9,28,88,13,92,1
955,19,0.3,34,54,55,81,0
956,131,0.3,36,90,21,61,1
957,239,0.3,23,63,53,12,0
958,189,1.0,118,95,45,90,1
959,92,0.5,40,95,3,58,1
960,49,0.9,126,84,43,50,1
961,68,0.4,43,48,24,50,1
962,162,0.1,83,86,44,9,1
963,84,0.9,150,120,92,93,1
964,40,0.5,124,40,72,67,0
965,103,0.6,94,44,47,18,1
966,101,0.2,72,95,6,40,0
967,68,0.9,79,82,18,39,1
968,136,0.9,78,127,57,18,1
969,12,0.1,108,73,29,29,0
970,162,0.4,54,84,73,48,1
971,158,0.4,72,76,31,74,1
972,173,0.7,134,125,12,56,1
973,243,0.1,50,23,23,32,0
974,101,0.4,98,112,81,95,1
975,89,0.9,31,124,71,58,1
976,93,0.2,40,125,10,98,1
977,59,0.3,100,79,9,43,0
978,34,0.7,149,64,95,24,1
979,65,0.5,50,14,98,27,0
980,93,0.3,81,20,67,57,1
981,218,0.4,142,96,81,94,1
982,124,0.5,86,17,7,80,0
983,75,1.0,72,110,8,8,1
984,93,0.1,76,102,98,5,1
985,129,0.0,108,106,41,62,1
986,19,0.2,135,29,49,58,0
987,178,0.5,18,83,3,77,0
988,228,0.1,65,13,10,60,0
989,190,0.8,6,92,68,26,1
990,148,0.2,28,78,57,79,1
991,45,0.5,81,24,92,51,0
992,12,0.3,139,130,14,70,0
993,88,0.5,31,108,67,92,1
994,138,0.1,112,60,11,27,0
995,244,0.9,105,127,20,8,1
996,240,0.5,111,129,86,91,1
997,227,0.1,142,124,35,96,1
998,243,0.1,7,16,84,41,0
999,225,0.0,31,73,34,46,1
1000,51,0.8,133,105,10,7,1
1001,230,0.6,125,59,63,54,1
1002,191,0.1,136,32,71,20,0
1003,95,0.5,72,104,80,22,1
1004,22,0.1,24,49,51,34,0
1005,64,0.1,86,51,3,27,0
1006,7,0.7,120,47,59,25,0
1007,113,0.5,120,12,66,29,0
1008,62,0.2,52,86,29,67,1
1009,90,0.9,114,93,95,91,1
1010,37,0.1,58,56,73,79,1
1011,14,0.4,18,97,14,7,0
1012,19,0.5,62,57,77,8,0
1013,111,0.6,84,120,88,35,1
1014,88,0.6,122,124,76,80,1
1015,52,0.3,51,35,57,95,1
1016,23,0.8,20,105,31,89,1
1017,83,0.1,14,69,63,88,1
1018,5,0.1,136,81,44,54,1
1019,22,0.5,33,94,43,60,0
1020,83,1.0,77,88,96,84,1
1021,35,0.2,74,110,44,91,1
1022,8,0.3,90,74,61,96,1
1023,44,0.5,131,124,14,75,0
1024,64,0.9,58,91,3,82,1
1025,35,0.8,17,121,47,89,1
1026,38,0.6,86,119,76,33,1
1027,118,0.4,30,81,42,11,0
1028,71,0.0,35,103,33,23,0
1029,118,0.3,80,39,15,70,0
1030,65,0.8,96,58,18,6,1
1031,90,0.1,39,18,62,82,1
1032,71,0.3,63,59,14,23,0
1033,49,0.0,43,87,50,57,1
1034,98,0.2,111,86,31,76,1
1035,25,0.3,140,104,39,77,1
1036,9,0.1,82,127,60,72,1
1037,36,0.1,133,80,41,22,0
1038,103,0.7,87,113,28,65,1
1039,102,0.5,45,56,4,62,1
1040,37,0.3,49,61,3,32,0
1041,48,0.1,22,41,95,57,0
1042,47,0.2,27,59,50,80,0
1043,86,0.8,54,53,23,26,1
1044,101,0.2,80,71,90,82,1
1045,102,0.9,100,108,66,98,1
1046,67,0.1,89,73,4,74,1
1047,95,0.2,14,130,84,66,1
1048,125,0.8,33,126,28,28,1
1049,98,0.8,125,113,98,16,1
1050,9,0.4,131,121,38,73,1
1051,12,1.0,111,70,19,17,0
1052,113,0.6,50,73,90,68,1
1053,48,0.1,91,120,79,90,1
1054,96,0.2,114,27,31,37,0
1055,31,0.6,33,91,99,72,1
1056,5,0.2,126,92,16,62,0
1057,113,0.8,42,81,48,85,1
1058,74,0.3,125,41,14,86,0
1059,63,0.5,96,98,26,51,1
1060,37,0.6,75,46,23,78,1
1061,7,0.6,142,74,47,83,1
1062,83,0.4,95,13,78,100,1
1063,42,0.4,115,129,88,84,1
1064,71,0.1,146,109,71,87,1
1065,108,0.4,92,112,45,50,1
1066,64,0.9,106,92,54,57,1
1067,89,0.7,94,126,17,93,1
1068,57,0.6,144,96,63,59,1
1069,22,0.8,70,72,91,20,1
1070,53,0.6,42,116,37,92,1
1071,111,0.5,107,33,84,52,1
1072,77,0.5,115,84,72,39,1
1073,116,0.3,139,71,17,12,0
1074,57,0.5,20,43,5,86,0
1075,104,0.1,150,48,65,63,1
1076,80,0.8,15,85,28,26,1
1077,23,0.8,19,109,47,16,0
1078,10,0.5,70,124,23,34,0
1079,113,0.8,107,43,50,7,1
1080,26,0.6,145,121,20,92,1
1081,45,0.6,37,22,63,63,1
1082,36,0.5,47,97,77,45,0
1083,58,0.0,106,66,50,74,1
1084,81,0.7,104,37,15,24,0
1085,47,0.2,42,129,59,35,0
1086,57,0.7,6,55,82,59,1
1087,69,0.2,121,75,96,91,1
1088,12,0.5,135,24,35,79,0
1089,105,0.8,136,16,34,70,1
1090,32,0.1,8,45,25,43,0
1091,125,0.0,75,102,24,62,1
1092,109,0.0,42,99,30,49,1
1093,52,0.8,27,40,42,44,0
1094,107,0.1,30,71,49,5,0
1095,19,0.1,46,92,76,59,1
1096,27,0.2,50,130,53,9,0
1097,74,0.5,95,46,26,37,0
1098,17,0.7,22,87,96,13,0
1099,75,0.7,77,58,82,7,1
1100,66,0.8,57,130,88,37,1
1101,108,0.2,9,104,3,78,0
1102,47,0.2,87,55,37,48,1
1103,26,0.0,108,37,68,23,0
1104,11,0.9,95,128,92,62,1
1105,36,0.8,12,120,53,92,1
1106,26,0.6,8,26,65,5,0
1107,78,0.2,112,75,57,33,1
1108,101,0.6,16,94,82,36,1
1109,24,0.6,56,119,76,34,1
1110,104,0.1,57,79,12,97,1
1111,15,0.2,148,101,46,99,1
1112,7,0.7,29,122,52,99,1
1113,75,0.7,5,75,51,33,1
1114,67,0.7,42,97,63,56,1
1115,117,0.6,127,126,98,100,1
1116,103,0.6,28,65,42,59,1
1117,115,0.8,124,17,75,23,1
1118,25,0.3,74,67,44,46,1
1119,25,0.4,132,52,60,46,1
1120,19,0.4,84,75,43,9,0
1121,40,0.3,121,105,70,31,0
1122,95,0.1,95,80,46,8,1
1123,53,0.8,70,107,54,61,1
1124,30,0.3,148,120,73,59,1
1125,17,0.2,23,122,92,73,0
1126,41,0.1,141,29,31,78,0
1127,37,0.2,70,26,80,41,0
1128,5,0.1,15,105,58,15,0
1129,77,0.5,6,118,21,75,1
1130,56,0.8,90,21,17,49,1
1131,5,0.2,138,52,41,31,0
1132,108,0.8,102,73,32,46,1
1133,14,0.2,119,16,48,86,0
1134,93,0.2,124,116,54,89,1
1135,6,0.1,38,110,93,85,1
1136,7,0.8,136,38,58,8,0
1137,71,0.1,141,42,35,87,1
1138,89,0.2,35,109,31,69,1
1139,121,0.1,26,128,66,83,1
1140,48,0.4,132,101,37,86,1
1141,7,0.0,59,101,60,23,0
1142,5,0.1,61,80,14,6,0
1143,52,0.2,21,98,32,100,1
1144,63,0.1,67,128,84,57,1
1145,95,1.0,50,101,89,67,1
1146,94,0.4,66,81,5,96,1
1147,56,0.7,139,103,58,12,1
1148,101,0.2,17,120,77,38,0
1149,45,0.5,147,45,82,23,0
1150,26,0.4,45,17,42,66,0
1151,56,0.2,46,79,97,73,1
1152,101,0.3,9,75,57,43,0
1153,65,0.2,42,102,86,39,1
1154,47,0.2,102,112,65,50,1
1155,105,0.1,130,52,88,73,1
1156,37,0.9,83,93,53,77,1
1157,42,0.5,123,71,35,8,0
1158,29,0.4,134,93,98,32,0
1159,106,0.5,117,17,6,62,0
1160,109,0.3,34,24,26,59,0
1161,31,0.6,60,71,73,75,1
1162,59,0.9,26,112,46,85,1
1163,105,0.4,138,115,25,17,1
1164,6,0.5,143,40,23,82,0
1165,110,1.0,41,52,6,49,1
1166,114,0.8,55,95,96,99,1
1167,32,0.2,54,31,33,38,0
1168,120,0.6,92,112,56,48,1
1169,88,0.1,83,18,84,14,0
1170,78,0.3,27,54,87,74,1
1171,60,0.0,30,57,23,58,1
1172,36,0.5,121,62,86,33,0
1173,37,0.1,101,28,31,55,0
1174,92,0.2,106,94,4,12,0
1175,9,1.0,108,61,91,8,1
1176,14,1.0,105,15,91,59,1
1177,72,0.8,115,13,16,67,1
1178,84,0.1,49,19,10,37,0
1179,5,0.5,32,126,59,13,0
1180,124,0.3,129,56,35,36,1
1181,15,0.9,138,65,71,80,1
1182,91,0.1,23,74,24,81,1
1183,47,0.6,91,91,39,47,1
1184,43,0.6,137,93,10,57,1
1185,26,0.1,40,118,51,64,1
1186,22,0.9,94,86,64,39,1
1187,74,0.4,31,27,71,88,0
1188,43,0.3,150,90,83,49,1
1189,111,0.2,55,103,22,89,1
1190,37,0.7,71,23,75,50,1
1191,46,0.4,119,45,60,66,0
1192,118,0.0,88,62,54,23,1
1193,67,0.8,69,69,32,11,1
1194,16,0.9,103,28,5,38,0
1195,76,0.5,132,102,24,78,1
1196,33,0.7,120,85,35,81,1
1197,40,0.8,90,83,30,13,1
1198,69,0.7,33,67,87,75,1
1199,95,0.2,63,93,65,52,1
1200,6,0.9,138,129,54,97,1
1201,117,0.3,102,20,14,44,0
1202,49,0.7,81,103,83,90,1
1203,53,0.1,118,44,43,35,0
1204,92,0.9,35,100,14,41,0
1205,70,0.6,90,82,43,45,1
1206,85,0.8,122,42,71,80,1
1207,121,0.1,10,64,23,78,1
1208,119,0.7,148,93,11,20,1
1209,119,0.1,119,130,58,15,1
1210,80,0.7,122,46,7,9,0
1211,122,0.5,21,118,14,77,0
1212,94,0.5,69,21,55,48,1
1213,71,0.5,102,83,71,58,1
1214,31,1.0,21,89,96,64,1
1215,56,0.1,54,94,20,80,1
1216,27,0.8,58,82,30,74,1
1217,48,0.2,121,105,69,10,0
1218,75,0.7,59,27,93,74,1
1219,37,0.4,129,44,62,28,0
1220,57,0.7,119,14,75,41,1
1221,28,0.3,74,29,38,40,0
1222,53,0.4,132,124,29,92,1
1223,50,0.3,53,60,74,26,0
1224,120,0.7,133,55,56,30,1
1225,37,0.3,79,68,47,54,1
1226,29,0.4,81,27,11,17,0
1227,93,0.7,61,105,32,94,1
1228,66,0.3,7,13,17,30,0
1229,39,1.0,21,71,78,7,0
1230,121,1.0,6,105,15,76,1
1231,44,0.1,77,100,88,27,0
1232,102,0.9,101,110,4,90,1
1233,106,0.9,82,41,36,67,1
1234,109,0.8,54,12,95,49,1
1235,16,0.5,133,34,96,26,0
1236,105,0.6,102,25,55,71,1
1237,61,0.3,144,35,93,90,1
1238,123,0.1,14,81,44,68,1
1239,89,0.2,69,83,32,88,1
1240,39,0.9,68,116,92,97,1
1241,7,0.2,43,76,78,23,0
1242,101,0.0,143,52,78,37,1
1243,39,0.7,67,76,66,39,1
1244,68,0.3,33,42,50,8,0
1245,6,0.3,118,17,73,75,0
1246,99,0.7,115,56,99,51,1
1247,57,0.6,86,25,99,88,1
1248,22,0.7,120,51,70,67,1
1249,55,0.7,110,95,25,60,1
1250,27,0.9,106,62,67,78,1
1251,39,0.1,54,84,6,42,0
1252,25,0.2,148,104,30,23,0
1253,28,0.5,44,101,31,84,1
1254,92,0.6,119,85,88,87,1
1255,83,0.7,32,96,5,95,1
1256,91,0.8,113,97,28,23,1
1257,124,0.5,40,63,22,60,1
1258,105,0.9,66,78,48,68,1
1259,19,0.8,55,16,26,6,0
1260,111,0.3,82,74,35,87,1
1261,102,0.6,14,76,44,17,1
1262,86,0.6,41,43,11,81,1
1263,76,0.6,15,92,41,30,1
1264,62,0.6,149,130,68,94,1
1265,56,0.4,78,99,12,53,1
1266,34,0.2,69,50,51,13,0
1267,56,0.8,86,32,76,81,1
1268,50,0.3,67,95,28,61,1
1269,115,0.1,127,112,70,59,1
1270,44,0.4,61,57,3,35,0
1271,55,0.0,15,120,83,77,1
1272,118,0.8,79,12,8,83,1
1273,44,1.0,59,13,9,28,0
1274,68,0.4,141,21,27,83,1
1275,23,0.1,50,19,95,95,0
1276,44,1.0,134,14,68,29,0
1277,119,0.2,28,79,84,7,0
1278,97,0.3,48,15,90,11,0
1279,82,0.8,86,124,10,48,1
1280,46,0.3,85,17,52,83,0
1281,49,0.4,74,107,22,86,1
1282,64,0.9,105,106,77,93,1
1283,59,0.6,65,49,19,46,1
1284,74,0.1,141,17,54,72,1
1285,97,0.4,15,75,64,70,1
1286,103,1.0,19,29,12,64,0
1287,22,0.4,133,42,80,100,0
1288,106,0.7,18,82,53,31,1
1289,45,0.3,91,123,59,45,0
1290,98,1.0,89,95,36,40,1
1291,96,0.3,57,94,58,33,1
1292,120,0.0,78,110,64,71,1
1293,32,0.8,88,51,15,76,1
1294,23,0.9,90,103,60,76,1
1295,38,0.9,122,127,47,92,1
1296,10,0.7,46,53,89,51,1
1297,76,0.2,30,45,13,43,0
1298,120,0.5,33,95,50,5,0
1299,81,0.6,68,75,10,40,1
1300,119,0.1,24,112,50,37,0
1301,52,0.5,97,71,12,72,1
1302,41,0.8,36,95,56,87,1
1303,41,0.4,129,118,53,46,1
1304,38,0.2,79,45,36,80,0
1305,37,0.3,101,85,22,78,1
1306,122,0.6,59,44,58,21,1
1307,111,0.1,138,84,16,72,1
1308,42,0.2,144,66,83,85,1
1309,66,0.1,41,105,3,72,1
1310,98,0.8,41,87,67,44,1
1311,26,0.2,142,128,93,95,1
1312,99,0.6,20,111,28,96,1
1313,51,0.3,57,84,71,45,1
1314,32,0.4,106,54,51,9,0
1315,121,0.6,113,109,18,58,1
1316,49,0.2,18,118,23,9,0
1317,33,0.2,102,120,7,64,0
1318,24,0.6,24,20,35,9,0
1319,81,0.8,118,58,90,27,1
1320,93,0.3,121,116,30,84,1
1321,87,0.4,13,92,56,99,1
1322,41,0.4,25,81,27,45,0
1323,102,1.0,52,113,85,59,1
1324,86,0.6,119,64,82,17,1
1325,117,0.4,145,37,69,92,1
1326,114,0.7,86,113,36,65,1
1327,104,0.0,118,93,12,23,0
1328,117,0.2,59,11,59,34,0
1329,96,0.9,99,118,15,84,1
1330,22,0.5,67,88,31,39,0
1331,55,0.2,64,106,82,70,1
1332,39,0.1,125,120,13,59,0
1333,100,0.9,63,122,8,52,1
1334,124,0.2,120,114,31,60,1
1335,16,0.0,103,17,7,68,0
1336,47,0.3,53,33,24,28,0
1337,112,0.3,67,13,39,77,1
1338,8,0.1,124,113,8,11,0
1339,8,1.0,21,49,12,72,0
1340,92,1.0,14,124,10,11,0
1341,41,0.4,58,121,14,95,0
1342,100,0.4,31,66,6,18,0
1343,87,0.8,133,69,32,57,1
1344,6,0.8,46,111,77,82,1
1345,81,0.2,137,101,94,7,1
1346,102,0.9,56,16,9,100,1
1347,75,0.6,102,113,55,77,1
1348,58,0.8,22,12,35,26,0
1349,37,0.1,117,64,27,93,1
1350,117,0.6,139,83,88,38,1
1351,43,0.7,65,43,60,45,0
1352,114,0.3,81,118,13,47,1
1353,122,0.8,24,52,12,48,1
1354,30,0.2,117,67,39,83,1
1355,101,0.9,51,106,20,90,1
1356,50,0.6,85,44,3,92,0
1357,33,0.4,38,17,88,82,0
1358,98,0.2,84,73,37,5,1
1359,12,0.2,135,39,4,18,0
1360,101,0.7,149,73,27,42,1
1361,102,0.9,12,78,16,73,1
1362,25,0.5,100,39,48,89,0
1363,28,0.5,82,10,7,75,0
1364,108,0.5,22,49,51,89,0
1365,39,0.2,66,72,24,54,1
1366,109,0.6,97,108,67,89,1
1367,124,0.4,132,98,11,38,0
1368,31,0.7,71,56,35,40,1
1369,106,0.2,51,57,44,28,1
1370,58,0.7,82,74,64,46,1
1371,94,0.3,73,97,9,79,1
1372,11,0.3,132,103,43,99,1
1373,52,0.9,59,98,25,36,1
1374,80,0.6,121,11,29,93,1
1375,33,0.4,99,11,26,80,0
1376,13,0.8,130,92,32,16,1
1377,36,0.7,87,119,49,30,1
1378,5,0.9,138,87,62,40,1
1379,9,0.9,44,113,89,84,1
1380,74,0.5,37,21,19,93,0
1381,110,1.0,105,119,40,21,1
1382,117,0.1,132,16,21,18,0
1383,107,0.2,20,113,83,80,1
1384,55,0.2,135,58,96,59,1
1385,107,0.3,16,79,56,91,1
1386,10,0.3,88,71,8,74,0
1387,24,0.6,108,59,91,70,1
1388,11,0.8,36,40,20,51,0
1389,67,0.9,123,45,90,45,1
1390,58,0.4,134,40,84,60,1
1391,44,0.2,75,49,95,46,0
1392,75,0.8,64,65,35,8,1
1393,33,0.5,60,66,69,28,0
1394,61,0.2,81,54,82,82,1
1395,88,1.0,41,31,86,94,1
1396,93,0.3,108,112,65,80,1
1397,71,0.2,6,63,36,54,1
1398,112,1.0,40,90,71,45,1
1399,82,0.5,144,12,72,26,0
1400,81,0.3,37,98,45,87,1
1401,72,0.4,30,60,35,9,0
1402,31,0.7,76,89,49,83,1
1403,54,1.0,78,33,55,75,1
1404,57,0.4,17,128,30,86,1
1405,71,0.1,85,95,8,78,1
1406,75,0.7,34,13,6,24,0
1407,60,0.2,59,62,55,21,1
1408,83,0.7,57,15,9,91,1
1409,91,0.8,91,19,82,42,1
1410,118,0.7,127,39,48,56,1
1411,92,0.2,105,83,80,66,1
1412,52,0.9,113,20,52,54,1
1413,96,0.1,44,66,57,9,1
1414,109,1.0,94,73,29,77,1
1415,68,0.1,116,130,67,77,1
1416,81,0.3,125,93,17,35,0
1417,121,0.7,127,42,23,21,1
1418,86,0.8,37,95,56,10,1
1419,118,0.2,83,108,69,98,1
1420,113,0.9,90,43,99,63,1
1421,73,0.5,93,47,95,56,1
1422,41,0.6,55,29,21,11,0
1423,82,0.8,40,22,20,21,0
1424,108,0.6,66,22,70,37,1
1425,76,0.4,74,44,64,78,1
1426,79,0.2,80,38,76,95,1
1427,91,0.8,117,15,37,48,1
1428,84,0.2,14,16,51,87,0
1429,32,0.6,94,15,11,46,0
1430,110,0.8,23,68,65,58,1
1431,75,0.4,79,27,93,72,1
1432,107,0.2,49,84,48,80,1
1433,104,0.9,23,114,94,89,1
1434,35,0.5,103,37,94,23,0
1435,63,0.8,29,112,35,78,1
1436,41,0.5,109,65,53,89,1
1437,98,0.0,109,70,78,48,1
1438,50,0.7,74,116,54,28,1
1439,118,0.2,18,50,38,23,0
1440,71,0.8,26,79,84,93,1
1441,39,0.1,44,13,17,44,0
1442,34,0.8,95,115,53,88,1
1443,83,0.4,99,18,3,59,0
1444,76,0.7,9,123,13,40,0
1445,112,0.9,24,44,67,56,1
1446,100,0.4,15,108,53,77,1
1447,95,0.7,148,117,4,7,1
1448,37,0.0,32,24,61,59,0
1449,78,0.2,52,30,21,14,0
1450,125,0.2,59,31,8,33,0
1451,101,0.4,20,52,63,10,0
1452,14,1.0,41,76,77,24,1
1453,38,0.5,35,125,20,90,0
1454,57,0.5,117,75,32,33,1
1455,44,0.0,57,95,26,7,0
1456,46,0.5,82,66,54,69,1
1457,15,0.6,58,108,6,11,0
1458,86,0.6,138,28,85,16,1
1459,34,0.6,122,20,6,85,0
1460,52,0.7,65,36,55,16,1
1461,75,0.6,21,65,85,65,1
1462,13,0.2,7,51,74,8,0
1463,98,0.0,73,120,53,9,1
1464,102,0.6,74,70,97,86,1
1465,55,0.6,146,24,93,56,1
1466,30,0.5,86,43,65,85,0
1467,82,0.2,92,74,99,18,1
1468,43,0.3,94,44,54,24,0
1469,8,0.4,96,87,3,34,0
1470,40,0.0,70,35,99,32,0
1471,113,0.5,5,81,20,53,0
1472,51,1.0,108,128,96,48,1
1473,110,0.4,40,14,42,52,1
1474,70,0.4,132,56,96,35,1
1475,75,0.5,48,72,87,33,1
1476,53,0.8,77,66,41,37,1
1477,44,0.1,15,34,47,30,0
1478,112,0.3,134,82,64,77,1
1479,91,0.5,63,90,58,82,1
1480,74,0.5,100,99,40,25,1
1481,72,0.4,132,81,56,92,1
1482,125,0.5,45,73,97,59,1
1483,37,0.4,132,96,86,21,0
1484,98,0.2,47,121,81,45,1
1485,61,0.8,70,60,74,70,1
1486,120,0.2,148,81,18,60,1
1487,91,0.6,139,125,8,53,1
1488,96,0.7,57,78,37,72,1
1489,75,0.6,117,107,32,85,1
1490,96,0.8,147,76,69,84,1
1491,90,0.2,68,95,30,91,1
1492,44,0.8,144,39,67,74,1
1493,61,0.6,62,70,8,44,1
1494,12,0.5,54,85,46,88,1
1495,55,0.4,86,74,17,80,1
1496,64,0.2,92,101,72,84,1
1497,21,0.4,116,35,5,58,0
1498,91,0.4,136,62,89,59,1
1499,21,0.6,21,31,44,18,0
1500,65,0.8,46,47,64,12,1
1501,40,0.9,93,66,8,45,0
1502,83,0.9,116,102,34,13,1
1503,10,0.2,5,30,87,43,0
1504,64,0.6,38,62,49,30,1
1505,11,0.3,42,115,60,56,1
1506,22,0.8,98,81,28,16,1
1507,65,1.0,40,117,3,80,1
1508,43,0.9,149,70,48,63,1
1509,39,0.2,117,105,87,21,0
1510,55,0.2,148,113,89,51,1
1511,57,0.3,41,53,7,36,0
1512,113,0.4,129,39,45,80,1
1513,29,0.6,144,71,60,86,1
1514,5,0.3,105,80,43,5,0
1515,30,0.2,89,61,26,68,1
